,V1,V2
1633,633,633
1634,633,99
1635,634,634
1636,634,625
1637,634,9
1638,634,76
1639,634,74
1640,635,635
1641,635,1022
1642,635,1791
1643,635,372
1644,636,636
1645,637,637
1646,637,294
1647,637,237
1648,638,638
1649,638,589
1650,638,711
1651,639,639
1652,639,170
1653,639,590
1654,640,640
1655,640,357
1656,641,641
1657,641,411
1658,641,651
1659,641,23
1660,641,585
1661,642,642
1662,642,293
1663,642,1650
1664,643,643
1665,643,752
1666,643,561
1667,644,644
1668,645,645
1669,646,646
1670,646,351
1671,647,647
1672,647,586
1673,648,648
1674,649,649
1675,650,650
1676,650,75
1677,650,348
1678,651,651
1679,651,641
1680,651,703
1681,651,435
1682,651,23
1683,652,652
1684,652,660
1685,652,269
1686,652,200
1687,653,653
1688,654,654
1689,654,350
1690,655,655
1691,655,223
1692,656,656
1693,656,663
1694,656,188
1695,656,708
1696,657,657
1697,657,1766
1698,658,658
1699,658,565
1700,659,659
1701,659,1283
1702,660,660
1703,660,652
1704,660,231
1705,660,90
1706,661,661
1707,662,662
1708,662,720
1709,663,663
1710,663,656
1711,663,69
1712,663,38
1713,663,188
1714,664,664
1715,665,665
1716,665,415
1717,665,142
1718,665,301
1719,666,666
1720,666,380
1721,666,39
1722,666,307
1723,667,667
1724,668,668
1725,669,669
1726,670,670
1727,670,326
1728,671,671
1729,671,184
1730,671,392
1731,672,672
1732,673,673
1733,673,331
1734,674,674
1735,674,232
1736,675,675
1737,676,676
1738,676,423
1739,676,81
1740,676,430
1741,676,603
1742,677,677
1743,678,678
1744,678,1705
1745,679,679
1746,680,680
1747,681,681
1748,681,1119
1749,682,682
1750,682,551
1751,682,251
1752,682,290
1753,683,683
1754,683,392
1755,684,684
1756,684,348
1757,685,685
1758,685,58
1759,685,726
1760,686,686
1761,686,697
1762,686,707
1763,686,255
1764,687,687
1765,687,128
1766,688,688
1767,689,689
1768,689,716
1769,690,690
1770,691,691
1771,692,692
1772,692,211
1773,692,33
1774,692,559
1775,692,598
1776,693,693
1777,694,694
1778,694,206
1779,694,95
1780,694,329
1781,695,695
1782,695,318
1783,695,328
1784,696,696
1785,696,348
1786,697,697
1787,697,686
1788,698,698
1789,698,1307
1790,698,1725
1791,699,699
1792,699,144
1793,699,1452
1794,699,1063
1795,700,700
1796,700,182
1797,700,378
1798,701,701
1799,701,1736
1800,701,44
1801,702,702
1802,702,460
1803,702,626
1804,703,703
1805,703,16
1806,703,1795
1807,703,651
1808,703,585
1809,704,704
1810,704,787
1811,705,705
1812,706,706
1813,707,707
1814,707,1618
1815,707,686
